subject_uuid,subject_id,name,short_name,category,level,difficulty,point,question_count,is_active
ac4e17de-6058-5a75-8043-59fe7629f8fb,1,Verb to Be: Present,A1_VERB_TO_BE,Grammar,A1,1,1,100,true
756976a5-169c-5ad4-b7f9-3277107b702e,2,Subject Pronouns,A1_SUBJECT_PRONOUNS,Grammar,A1,1,1,100,true
599c0a2f-b4f4-54b3-ac8d-2128c4f4b6e5,3,Object Pronouns,A1_OBJECT_PRONOUNS,Grammar,A1,1,1,100,true
f1f9cdfc-33d6-535f-9163-1c7be848c500,4,Possessive Adjectives and Pronouns,A1_POSSESSIVES,Grammar,A1,1,1,100,true
045ce2f4-f350-55d6-b6bd-f765b96ed335,5,"Basic Articles: A, An and The",A1_ARTICLES,Grammar,A1,1,1,100,true
9fb2ce5d-73bf-5628-a2b5-93b45148c8c7,6,Singular and Plural Nouns,A1_PLURAL_NOUNS,Grammar,A1,1,1,100,true
a92acbba-e080-5a0e-8d75-d9b47485696e,7,"This, That, These and Those",A1_DEMONSTRATIVES,Grammar,A1,1,1,100,true
b9e80e98-1499-5588-bdf1-83f9dc5d1116,8,There Is and There Are,A1_THERE_IS_ARE,Grammar,A1,1,1,100,true
1fd2e454-a426-5f4d-bb0a-857c5e616706,9,Have Got and Has Got,A1_HAVE_GOT,Grammar,A1,2,1,100,true
75fd41b3-d5bf-5f6e-a30f-a352a10ccb2a,10,Present Simple: Affirmative,A1_PRESENT_SIMPLE_AFFIRMATIVE,Grammar,A1,2,1,100,true
8c81564b-4c60-5666-badb-8fbbee4bdb28,11,Present Simple: Negatives and Questions,A1_PRESENT_SIMPLE_NEGATIVE_QUESTION,Grammar,A1,2,1,100,true
f2a22944-a22f-5f87-bcd7-e8695c7f0b12,12,Adverbs of Frequency,A1_FREQUENCY_ADVERBS,Grammar,A1,2,1,100,true
348786be-7105-5b84-ab9d-c4ac86334f2c,13,Present Continuous,A1_PRESENT_CONTINUOUS,Grammar,A1,2,1,100,true
c9241820-f4d9-5969-a7bb-fac7ef14b117,14,Can and Can't: Ability,A1_CAN_CANT,Grammar,A1,2,1,100,true
7e5b24a9-f0be-5f00-b117-71f28ac67276,15,Basic Prepositions of Time and Place,A1_BASIC_PREPOSITIONS,Grammar,A1,2,1,100,true
e78b87e6-d98f-534a-9624-cb3196eaf48f,16,Basic Countable and Uncountable Nouns,A1_COUNTABLE_UNCOUNTABLE,Grammar,A1,2,1,100,true
58d961a9-6bdb-5cda-b544-c3c0eee8c649,17,Past Simple,A2_PAST_SIMPLE,Grammar,A2,3,2,100,true
d037fbb9-cdb3-5da4-be40-60b6f24833e5,18,Common Irregular Past Forms,A2_IRREGULAR_VERBS,Grammar,A2,3,2,100,true
c898f67d-7ba7-5d1e-adca-c66e2465d855,19,Past Continuous,A2_PAST_CONTINUOUS,Grammar,A2,3,2,100,true
cc72d61c-15dc-5660-b9ae-c70fb3db848d,20,Past Simple vs Past Continuous,A2_PAST_SIMPLE_VS_CONTINUOUS,Grammar,A2,3,2,100,true
efbd45dc-61b0-56fd-9aeb-850344aaed4c,21,Future with Will,A2_FUTURE_WILL,Grammar,A2,3,2,100,true
74567ee7-fd6c-5be8-8f04-a392f0b60f11,22,Be Going To,A2_GOING_TO,Grammar,A2,3,2,100,true
697eaf71-0a4b-51ba-aae2-b1a852bc84df,23,Present Continuous for Future Arrangements,A2_FUTURE_ARRANGEMENTS,Grammar,A2,3,2,100,true
bd4c5946-cb70-5662-9459-dc7cefd0fe6e,24,Comparative Adjectives,A2_COMPARATIVES,Grammar,A2,3,2,100,true
ce735ad6-4fed-5305-bc64-7e00267c5a3b,25,Superlative Adjectives,A2_SUPERLATIVES,Grammar,A2,4,2,100,true
4e150fdf-a2ce-5020-af21-d80a532836a2,26,Must and Have To,A2_MUST_HAVE_TO,Grammar,A2,4,2,100,true
caa02c4d-4aa1-51d4-aba2-74d4b9e019d9,27,Should and Shouldn't,A2_SHOULD,Grammar,A2,4,2,100,true
8ae7d95d-87b0-508b-b10e-fabbda1d0a16,28,Present Perfect: Basic Use,A2_PRESENT_PERFECT_BASIC,Grammar,A2,4,2,100,true
bd3f7987-58cc-5afc-bc78-b35aa6a2452b,29,Present Perfect vs Past Simple,A2_PRESENT_PERFECT_PAST_SIMPLE,Grammar,A2,4,2,100,true
66bd2689-0d67-51f5-97e8-2d0579deaa11,30,First Conditional,A2_FIRST_CONDITIONAL,Grammar,A2,4,2,100,true
6e8b508d-9f6e-5059-885a-c3c8517fbf8c,31,Too and Enough,A2_TOO_ENOUGH,Grammar,A2,4,2,100,true
248e935c-1dbc-53a7-8a00-91b86d45c264,32,"Somebody, Anybody, Nobody and Everybody",A2_INDEFINITE_PRONOUNS,Grammar,A2,4,2,100,true
39fd7e66-d5b7-5c1b-9d92-d9967d569ffd,33,Present Perfect Continuous,B1_PRESENT_PERFECT_CONTINUOUS,Grammar,B1,5,3,100,true
50ede43f-d27e-5c4f-9d96-4be855fd8f32,34,Past Perfect,B1_PAST_PERFECT,Grammar,B1,5,3,100,true
d30578e6-30da-54c1-af35-e519a6fe9411,35,Used To,B1_USED_TO,Grammar,B1,5,3,100,true
54a85761-85ad-5659-88c8-0c6280eaa1ac,36,Gerunds and Infinitives,B1_GERUND_INFINITIVE,Grammar,B1,5,3,100,true
f5b666ee-20e4-59d1-8046-02c24dec1f7c,37,Second Conditional,B1_SECOND_CONDITIONAL,Grammar,B1,5,3,100,true
1fc71c2e-a7f2-5127-af41-59007eecccb9,38,Defining Relative Clauses,B1_DEFINING_RELATIVE_CLAUSES,Grammar,B1,5,3,100,true
685f8a82-6589-5221-bba4-9e9fb8b3c1d9,39,Passive Voice: Present and Past,B1_BASIC_PASSIVE,Grammar,B1,5,3,100,true
aaf99635-0cc5-5cfe-a8c1-c5e902e8e09a,40,Reported Statements,B1_REPORTED_STATEMENTS,Grammar,B1,5,3,100,true
3cb6b6b9-a44a-5388-8058-9e5e676a4b5e,41,Reported Questions and Commands,B1_REPORTED_QUESTIONS,Grammar,B1,6,3,100,true
cc3e25e1-3024-5b53-9e9c-7e1d9529d1b3,42,Modal Verbs of Present Deduction,B1_MODAL_DEDUCTION_PRESENT,Grammar,B1,6,3,100,true
bfb814f4-5639-566c-8284-e6f716673346,43,"Modals of Permission, Obligation and Advice",B1_MODAL_PERMISSION_OBLIGATION,Grammar,B1,6,3,100,true
d5c16168-b443-540d-86c3-4ed342ee33e1,44,Question Tags,B1_QUESTION_TAGS,Grammar,B1,6,3,100,true
2e260651-58bf-524c-a390-bce18b8c2eaa,45,Common Phrasal Verbs,B1_PHRASAL_VERBS,Vocabulary,B1,6,3,100,true
