english,uzbek,part_of_speech,cefr,frequency_rank,synonym_group_id,source_name,source_license,source_ref
hello,salom|assalomu alaykum,interjection,A1,1,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
good,yaxshi,adjective,A1,2,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
bad,yomon,adjective,A1,3,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
big,katta,adjective,A1,4,1001,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
small,kichik,adjective,A1,5,1002,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
happy,xursand|baxtli,adjective,A1,6,1003,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
sad,xafa|g‘amgin,adjective,A1,7,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
house,uy,noun,A1,8,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
school,maktab,noun,A1,9,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
book,kitob,noun,A1,10,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
water,suv,noun,A1,11,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
food,ovqat,noun,A1,12,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
family,oila,noun,A1,13,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
friend,do‘st,noun,A1,14,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
day,kun,noun,A1,15,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
night,tun|kecha,noun,A1,16,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
work,ish|ishlamoq,noun,A1,17,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
go,bormoq,verb,A1,18,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
come,kelmoq,verb,A1,19,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
eat,yemoq,verb,A1,20,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
drink,ichmoq,verb,A1,21,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
read,o‘qimoq,verb,A1,22,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
write,yozmoq,verb,A1,23,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
speak,gapirmoq,verb,A1,24,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
listen,tinglamoq,verb,A1,25,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
see,ko‘rmoq,verb,A1,26,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
like,yoqtirmoq,verb,A1,27,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
want,xohlamoq,verb,A1,28,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
new,yangi,adjective,A1,29,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
old,eski|qari,adjective,A1,30,,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
large,katta|yirik,adjective,A2,31,1001,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
little,kichik|oz,adjective,A2,32,1002,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
glad,xursand,adjective,A2,33,1003,V5-demo-original,internal-demo-only,qa-balanced-cefr-v5
