english,uzbek,part_of_speech,cefr,cefr_source,source_name,source_license,source_ref
a,amper,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108363
a la mode,eng|kech|qisqa,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5316
a-bomb,atom bombasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50235
a-one,juda yaxshi|a'lo darajadagi|birinchi darajali,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12969
ab initio,avval|dastlab,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18786
aback,orqaga,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18592|i18593
abaft,dent|deny|qayiqning izidan|qayiqning orqasidan|kemaning quyruq qismida,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i20069
abandon,bosh tortmoq|tashlab ketmoq,verb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i24825|i24827|i32128|i32883|i32884
abandoned,tashlandiq|voz kechgan|bosh tortgan|bahridan o'tgan,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7153|i7175
abandoned infant,tashlandiq bola,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90066
abandonment,buzish|qarovsiz qoldirib ketish|xizmatdan fvazifadanj bosh tortish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35696|i35881|i36480
abase,kamsilmoq|xo'rlamoq|haqorat qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i30731
abasement,past|xarob|zavol|g'arib|inqiroz|tanazzul|kamsitish|tushkunlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112895|i36835
abash,uyaltirmoq|xijolat qilmoq|uyatga qoldirmoq|xijolatga solmoq|uyallirib qo'ymoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i30692
abashment,uyalib qolish|xijolat bo'lish|xijolat tortish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76204
abatement,oraliq|dam olish|ochiq joy|zaiflashish|bo'sh qolgan joy|nafasni rosllash|to'xtatib qo'yish|kuch-quvvatdan qolish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37311|i75414
abattoir,qushxona|tartibsizlik|to's-to'po-lon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i49762
